Classification	Order	Superfamily
RT	RT/LTR	RT/LTR/Copia
RT	RT/LTR	RT/LTR/Gypsy
RT	RT/LTR	RT/LTR/other
RT	RT/DIRS	RT/DIRS
RT	RT/PLE	RT/PLE
RT	RT/LINE	RT/LINE/I
RT	RT/LINE	RT/LINE/L1
RT	RT/LINE	RT/LINE/other
RT	RT/SINE	RT/SINE/tRNA
RT	RT/SINE	RT/SINE/other
RT	RT/other	RT/other
DNA	DNA/Helitron	DNA/Helitron
DNA	DNA/MITE	DNA/MITE
DNA	DNA/TIR	DNA/TIR/CACTA
DNA	DNA/TIR	DNA/TIR/Harbinger
DNA	DNA/TIR	DNA/TIR/hAT
DNA	DNA/TIR	DNA/TIR/Kolobok
DNA	DNA/TIR	DNA/TIR/Merlin
DNA	DNA/TIR	DNA/TIR/Mutator
DNA	DNA/TIR	DNA/TIR/Novosib
DNA	DNA/TIR	DNA/TIR/P
DNA	DNA/TIR	DNA/TIR/PiggyBac
DNA	DNA/TIR	DNA/TIR/Sola2
DNA	DNA/TIR	DNA/TIR/Tc1_Mariner
DNA	DNA/other	DNA/other
other	other	other
