DNA/Helitron	DNA/Helitron,Helitron
DNA/MITE	DNA/DTA,DNA/DTC,DNA/DTH,DNA/DTM,DNA/DTT,MITE,MITE/DTA,MITE/DTC,MITE/DTH,MITE/DTM,MITE/DTT
DNA/other	nMITE,Unknown//ClassII
DNA/TIR/CACTA	DNA/CACTA/MITE,DNA/CACTA/nMITE,DNA/CACTA/unknown,TIR/EnSpm_CACTA
DNA/TIR/Harbinger	DNA/Harbinger/MITE,DNA/Harbinger/nMITE,DNA/Harbinger/unknown,TIR/PIF_Harbinger
DNA/TIR/hAT	DNA/hAT/MITE,DNA/hAT/nMITE,DNA/hAT/unknown,TIR/hAT
DNA/TIR/Kolobok	TIR/Kolobok
DNA/TIR/Merlin	TIR/Merlin
DNA/TIR/Mutator	DNA/Mutator/MITE,DNA/Mutator/nMITE,DNA/Mutator/unknown,TIR/MuDR_Mutator
DNA/TIR/Novosib	TIR/Novosib
DNA/TIR/P	DNA/P/nMITE,TIR/P
DNA/TIR/PiggyBac	TIR/PiggyBac
DNA/TIR/Sola2	TIR/Sola2
DNA/TIR/Tc1_Mariner	DNA/TcMar/MITE,DNA/TcMar/nMITE,DNA/TcMar/unknown,TIR/Tc1_Mariner
other	mixture,pararetrovirus,unknown,Unknown
RT/DIRS	DIRS
RT/LINE/I	LINE/I
RT/LINE/L1	LINE/L1
RT/LINE/other	LINE
RT/LTR/Copia	LTR/Copia,LTR/Copia/Ale,LTR/Copia/Alesia,LTR/Copia/Angela,LTR/Copia/Bianca,LTR/Copia/Gymco-I,LTR/Copia/Gymco-II,LTR/Copia/Gymco-III,LTR/Copia/Ikeros,LTR/Copia/Ivana,LTR/Copia/mixture,LTR/Copia/SIRE,LTR/Copia/TAR,LTR/Copia/Tork,LTR/Ty1
RT/LTR/Gypsy	LTR/Gypsy,LTR/Gypsy/Athila,LTR/Gypsy/chromo-outgroup,LTR/Gypsy/CRM,LTR/Gypsy/Galadriel,LTR/Gypsy/mixture,LTR/Gypsy/non-chromo-outgroup,LTR/Gypsy/Ogre,LTR/Gypsy/Phygy,LTR/Gypsy/Reina,LTR/Gypsy/Retand,LTR/Gypsy/TatII,LTR/Gypsy/Tekay,LTR/Ty3
RT/LTR/other	LTR/unknown,LTR
RT/other	nLTR,Unknown//ClassI
RT/PLE	Penelope,PLE
RT/SINE/other	SINE
RT/SINE/tRNA	SINE/tRNA
